method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,effective_latency_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,reward_delay,reward_energy,reward_qos,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
mappo_no_han,MAPPO (no HAN),1,86.64540325567327,2.2085816872300494,4217.374887586992,0.74,0.26,0.0,0.9839166666666667,0.9864166666666667,0.8785866729902775,0.8785866729902775,0.12141332700972256,1.0,1.0,0.0,0.2694199976602842,0.5467545602688798,0.12141332700972256,4217.0,3705.0,512.0,399.1083260003411,563.1393766861936,957.8999999999461,-1.447499999999997,2.368721355100889,-0.013000144569837687,36.033333333333246,-28.30892547925336,-157.80000000000027,0.0,-3.0,-3.899999999999999,-1.1100000000000008,
mappo_no_han,MAPPO (no HAN),2,86.642597716661,2.235076891906627,4568.057667732371,0.8333333333333334,0.16666666666666666,0.0,0.9833500000000001,0.98575,0.8922454804947669,0.8922454804947669,0.10775451950523311,1.0,1.0,0.0,0.27121135681180986,0.6176886553705433,0.10775451950523311,4204.0,3751.0,453.0,402.3016935317929,553.0791349840146,989.3999999999413,-1.4984999999999977,2.5554653304665953,-0.0064141235441545,34.34999999999993,-23.169784331697397,-186.30000000000135,0.0,-3.0,-2.4,-1.2000000000000008,
mappo_no_han,MAPPO (no HAN),3,86.26119655752976,2.206425979597762,4511.009021292743,0.7169811320754716,0.2830188679245283,0.0,0.9883500000000001,0.991,0.8934094694266,0.8934094694266,0.10659053057339996,1.0,1.0,0.0,0.27538488483010315,0.5732997854398779,0.10659053057339996,4203.0,3755.0,448.0,401.3057602139397,557.534864680609,992.0999999999409,-1.0484999999999975,2.4242316914082394,-0.042232862316487305,33.46666666666672,-24.227622257133312,-206.1000000000021,0.0,-2.0,-4.499999999999999,-1.1400000000000008,
mappo_no_han,MAPPO (no HAN),4,86.05999522868198,2.220103585389273,4314.393769614709,0.7592592592592593,0.24074074074074073,0.0,0.9872166666666666,0.9899166666666667,0.888243831640058,0.888243831640058,0.11175616835994194,1.0,1.0,0.0,0.2723170517363715,0.4899665873915101,0.11175616835994194,4134.0,3672.0,462.0,393.05662137009534,549.984093455779,962.9999999999453,-1.1504999999999979,2.5944635802589806,0.0626203765499095,35.20666666666667,-25.910740669259336,-163.8000000000005,0.0,-3.0,-3.899999999999999,-1.2350000000000008,
mappo_no_han,MAPPO (no HAN),5,83.70374073684602,2.247555590113363,4243.144778649578,0.7959183673469388,0.20408163265306123,0.0,0.9739666666666666,0.9764166666666667,0.872865275142315,0.8724513987671882,0.12707444286391656,0.9995258416311048,0.9995258416311048,0.000474158368895211,0.2616548222524151,0.5137374632838911,0.12707444286391656,4216.0,3680.0,536.0,388.62178884123455,556.0028283202565,943.1999999999483,-2.3429999999999973,2.4473995907742654,-0.004155789250333274,35.9566666666667,-29.995080159301555,-164.40000000000052,0.0,-4.0,-2.9999999999999996,-1.1700000000000008,
joint_greedy,Joint Greedy,1,87.90257157740979,2.236586505456193,8079.219457788449,0.75,0.25,0.0,0.9240166666666667,0.9264166666666667,0.8794780545670225,0.8790609437989092,0.1204647853924591,0.9995257291913683,0.9995257291913683,0.00047427080863172874,0.25096408259646813,0.25667368899627324,0.1204647853924591,4215.0,3707.0,508.0,509.97775232566596,465.4617081331737,959.6999999999458,-6.838499999999965,2.2837373414094277,-0.04516356009447918,0.08333333333333333,-34.95993602529245,0.0,0.0,-3.0,-3.599999999999999,-1.0800000000000007,
joint_greedy,Joint Greedy,2,90.96473265640458,2.293837861034817,8610.707975631669,0.8260869565217391,0.17391304347826086,0.0,0.9443666666666667,0.9466666666666667,0.8898143741075678,0.8893910561370124,0.11013320647002854,0.9995242626070409,0.9995242626070409,0.0004757373929590866,0.2549947211983846,0.5468509177538509,0.11013320647002854,4202.0,3739.0,463.0,504.1502132550151,467.6893803655258,982.7999999999423,-5.006999999999975,2.430073840435945,-0.04634193420958128,0.08333333333333333,-32.049137902340114,0.0,0.0,-3.0,-2.4,-1.1400000000000008,
joint_greedy,Joint Greedy,3,95.4129616645889,2.180026095420194,8312.779850514336,0.723404255319149,0.2765957446808511,0.0,0.9541499999999999,0.9565,0.9050452165635412,0.9048298834166072,0.09493219129193434,0.9997620747085415,0.9997620747085415,0.00023792529145848205,0.27148941780865404,0.48065084894835924,0.09493219129193434,4202.0,3803.0,399.0,522.9546231368797,479.05830224228544,1021.1999999999365,-4.126499999999964,2.1810356103278927,-0.06700316538009636,0.09999999999999999,-27.976251601811104,0.0,0.0,-2.0,-3.899999999999999,-1.0200000000000007,
joint_greedy,Joint Greedy,4,86.12903188702504,2.2636075552737167,8001.051091404568,0.8571428571428571,0.14285714285714285,0.0,0.9282333333333334,0.9303333333333333,0.8766029518509557,0.8763909046927915,0.12336719883889695,0.9997581035316885,0.9997581035316885,0.00024189646831156264,0.24926258350256153,0.39133523339405785,0.12336719883889695,4133.0,3623.0,510.0,498.3138091004091,456.73423362893004,933.8999999999497,-6.458999999999969,2.309070080342286,0.004625513375513382,0.06666666666666667,-34.29664974507071,0.0,0.0,-3.0,-1.8,-1.0800000000000007,
joint_greedy,Joint Greedy,5,88.2195002948618,2.2434502308535236,8151.156218526219,0.8837209302325582,0.11627906976744186,0.0,0.9259333333333333,0.9280833333333334,0.8790322580645161,0.878615457562826,0.12091038406827881,0.9995258416311048,0.9995258416311048,0.000474158368895211,0.2508252883304622,0.21415935928547758,0.12091038406827881,4216.0,3706.0,510.0,512.0666981845086,466.48265672210675,958.799999999946,-6.6659999999999675,2.3435216726353407,-0.02554754928680973,0.016666666666666666,-39.08573156500961,0.0,0.0,-3.0,-1.5,-1.1400000000000008,
