method,display_name,episode,reward,avg_delay,avg_success_delay,p95_success_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,total_user_seconds,blocked_user_seconds,blocked_time_ratio,handover_interruption_seconds,service_interruption_seconds,total_handovers,failed_handovers,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,handovers_per_user_minute,load_balance_variance,load_balance_coefficient,load_variance_sample_count,mec_load_fairness,jain_mec_load_fairness,active_load_balance_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,energy_per_successful_task,reward_task_success,reward_load_balance,penalty_delay,penalty_energy,penalty_task_failure,penalty_service_interruption,penalty_failed_handover,selected_offload
attn_mappo,Attn+MAPPO,1,38.407820394510054,3.4566345039083615,2.1023435754767914,4.675556980767678,11107.495604505519,1.0,0.0,0.5352112676056338,20480.0,273.0,0.013330078125,42.60000169277191,315.60000121593475,33.0,0.0,0.9845898436906282,0.986669921875,0.7358410220014194,0.7350063802637176,0.2638593506309372,0.9988657308946548,0.9988657308946548,0.0011342691053452432,0.001611328125,0.0966796875,0.030226718461181343,0.7842695469784867,512.0,0.7842695469784867,0.9185257571357333,0.7842695469784867,0.7842695469784867,0.26229973061108747,7045.0,5184.0,1850.0,2.142649615066651,129.60000000001233,23.51425938267493,-39.65956626534943,-26.154873652089368,-46.52499999999843,-2.3670000988058746,0.0,
attn_mappo,Attn+MAPPO,2,42.901914351212326,3.277909383401841,2.045605622252268,4.545826857341122,10713.825992523522,1.0,0.0,0.5180722891566265,20480.0,450.0,0.02197265625,49.80000197887421,499.8000000715256,40.0,0.0,0.9755957031215076,0.97802734375,0.76483110984956,0.763530745253613,0.23476905638991216,0.998299801643525,0.998299801643525,0.001700198356474922,0.001953125,0.1171875,0.05668131343931988,0.6303569147812792,512.0,0.6303569147812792,0.8154700743124079,0.6303569147812792,0.6303569147812792,0.2337772740153018,7046.0,5389.0,1650.0,1.9880916668256674,134.7250000000135,20.876033902397783,-40.441104055668475,-27.08451576037357,-41.42499999999872,-3.7485001496970654,0.0,
attn_mappo,Attn+MAPPO,3,37.559824824449606,3.2819145857708962,2.0719065515092274,4.66396334326143,11038.706659541089,1.0,0.0,0.4875,20480.0,465.0,0.022705078125,46.80000197887421,511.80000030994415,41.0,0.0,0.975009765609866,0.977294921875,0.7524499360886238,0.7517026106696936,0.24730419977298523,0.9990068104426788,0.9990068104426788,0.0009931895573212259,0.002001953125,0.12011718749999999,0.1020206374072767,0.4203712705102454,512.0,0.4203712705102454,0.7502465145460572,0.4203712705102454,0.4203712705102454,0.2467366628830874,7041.0,5298.0,1739.0,2.0835610908911075,132.45000000001298,19.2063107723791,-39.83846674306805,-26.844520064503175,-43.574999999998596,-3.838500159792602,0.0,
attn_mappo,Attn+MAPPO,4,32.00172938761534,3.6640694120478083,2.1054436976968858,4.617209350607066,11586.634724538919,1.0,0.0,0.68,20480.0,272.0,0.01328125,45.00000178813934,317.0000013113022,24.0,0.0,0.9845214843109715,0.98671875,0.7144245453283354,0.7137309292649099,0.28529819694868236,0.9990291262135922,0.9990291262135922,0.000970873786407767,0.001171875,0.0703125,0.03251327610507124,0.7698283312322708,512.0,0.7698283312322708,0.901093636215705,0.7698283312322708,0.7698283312322708,0.2841886269070735,7203.0,5146.0,2049.0,2.2515807859578154,128.6500000000121,23.067997087122134,-39.81622214515405,-26.097546186668616,-51.42499999999815,-2.377500095870346,0.0,
attn_mappo,Attn+MAPPO,5,49.74775198358111,3.136512518737302,2.106823032779464,4.475507247819216,10520.495200841438,1.0,0.0,0.45454545454545453,20480.0,618.0,0.03017578125,52.800002098083496,670.800000667572,48.0,0.0,0.9672460937174037,0.96982421875,0.7893557422969187,0.7880313199105146,0.21029082774049218,0.9983221476510067,0.9983221476510067,0.0016778523489932886,0.00234375,0.140625,0.05624125761159257,0.6326996692070559,512.0,0.6326996692070559,0.8756436829811185,0.6326996692070559,0.6326996692070559,0.20945190156599552,7140.0,5636.0,1498.0,1.866659900788048,140.9000000000149,22.41647828431658,-42.95817189744758,-27.97955504498533,-37.599999999998936,-5.031000052113086,0.0,
joint_greedy,Joint Greedy,1,15.181353067979217,3.76194684759389,2.3188748801058066,5.241608617851111,12091.288675928343,1.0,0.0,0.1588235294117647,20480.0,278.0,0.01357421875,101.40000402927399,379.39999997615814,143.0,0.0,0.9814746093761642,0.98642578125,0.6571104172580188,0.6564582447185595,0.3425492698142634,0.9990075145328229,0.9990075145328229,0.0009924854671770878,0.006982421875,0.4189453125,0.01806075394658071,0.8652488013953743,512.0,0.8652488013953743,0.9463805435450136,0.8652488013953743,0.8652488013953743,0.3411314334325819,7046.0,4630.0,2406.0,2.6115094332458626,115.7500000000092,24.227341914752518,-40.84008709797139,-20.71040373034173,-60.39999999999764,-2.8455001204274595,0.0,
joint_greedy,Joint Greedy,2,17.582672602962703,3.637038841470349,2.256517300624021,5.071575881448498,11454.061846503637,1.0,0.0,0.13901345291479822,20480.0,446.0,0.02177734375,133.8000053167343,579.7999974489212,192.0,0.0,0.9716894532495643,0.97822265625,0.6765999716191287,0.6755454803060357,0.3228960045338623,0.998441484839898,0.998441484839898,0.0015585151601020118,0.009375,0.5625,0.04621981265509143,0.6879357107088022,512.0,0.6879357107088022,0.8387284083877412,0.6879357107088022,0.6879357107088022,0.3214791725701332,7047.0,4768.0,2269.0,2.4022780718338166,119.20000000000998,21.471447254726286,-41.147172113972154,-20.61810277315547,-56.974999999997834,-4.348500208929181,0.0,
joint_greedy,Joint Greedy,3,14.809492168889847,3.593116526289992,2.2900092728878523,5.231225730281823,11798.393956966787,1.0,0.0,0.13592233009708737,20480.0,468.0,0.0228515625,123.00000488758087,590.99999833107,178.0,0.0,0.9711425782064907,0.9771484375,0.6730113636363636,0.6722474460839954,0.32661748013620884,0.9988649262202043,0.9988649262202043,0.0011350737797956867,0.00869140625,0.521484375,0.08365433098407712,0.4985569002665256,512.0,0.4985569002665256,0.7780903484849604,0.4985569002665256,0.4985569002665256,0.32590805902383657,7040.0,4738.0,2297.0,2.49016335098497,118.45000000000981,19.919112921215046,-40.73463065944426,-20.842491088383365,-57.5499999999978,-4.432500185444951,0.0,
joint_greedy,Joint Greedy,4,10.204170749755576,3.846043505795538,2.2731066556630903,5.066874349221186,12478.501023029245,1.0,0.0,0.125,20480.0,254.0,0.01240234375,110.40000438690186,364.4000015258789,161.0,0.0,0.9822070311754942,0.98759765625,0.6407942238267148,0.6400832177531207,0.35880721220527045,0.9988904299583912,0.9988904299583912,0.0011095700416088765,0.007861328125,0.47167968750000006,0.026538989382162263,0.8080633082412348,512.0,0.8080633082412348,0.912613584850631,0.8080633082412348,0.8080633082412348,0.3583911234396671,7202.0,4615.0,2584.0,2.703900546701895,115.37500000000911,23.362907772176268,-40.47730737844702,-20.648430632778375,-64.67499999999758,-2.733000105712563,0.0,
joint_greedy,Joint Greedy,5,23.62355340864451,3.5057768261416538,2.3762707850516547,5.1554923606261385,11261.428836138097,1.0,0.0,0.07471264367816093,20480.0,614.0,0.02998046875,208.80000829696655,822.8000053167343,322.0,0.0,0.9598242184903938,0.97001953125,0.7033459330813384,0.7024608501118568,0.2962807606263982,0.9987416107382551,0.9987416107382551,0.0012583892617449664,0.01572265625,0.9433593750000001,0.03991925151408574,0.7246181389775955,512.0,0.7246181389775955,0.9083631148886365,0.7246181389775955,0.7246181389775955,0.2954418344519016,7143.0,5024.0,2113.0,2.2415264403141117,125.60000000001143,23.254095741149065,-44.99916039698539,-21.085382956764725,-52.97499999999806,-6.171000114642084,0.0,
random,Random,1,3.0825545632687863,3.8048531984487854,2.191478864768879,5.078396345013769,11210.87377390509,0.9931305201177625,0.0068694798822374874,0.001644195988161789,20480.0,244.0,0.0119140625,1824.6000487804413,2068.600051999092,3057.0,21.0,0.8989941380859818,0.9880859375,0.6620797276209391,0.6617042393307813,0.33772862611654614,0.9994328654473273,0.9994328654473273,0.0005671345526726216,0.1482421875,8.89453125,0.05641946555682998,0.6317501210028958,512.0,0.6317501210028958,0.8105811335644489,0.6317501210028958,0.6317501210028958,0.33772862611654614,7049.0,4667.0,2382.0,2.402158511657401,116.6750000000094,20.750877019249973,-37.51451447485316,-21.659305933452295,-59.54999999999769,-15.514500574674457,-0.10500000000000007,1.0
random,Random,2,5.976471304340521,3.690673185438001,2.117514374277225,4.928280874301459,10805.331428610549,0.9926617745163442,0.00733822548365577,0.0016772895001677288,20480.0,373.0,0.018212890625,1788.6000492572784,2161.600041985512,2998.0,22.0,0.8944531229499262,0.981787109375,0.6818375159506593,0.6813544913573251,0.31793709266081044,0.9992915840181354,0.9992915840181354,0.0007084159818645508,0.1453125,8.71875,0.0974929226399077,0.43887822578225266,512.0,0.43887822578225266,0.6757640245273927,0.43887822578225266,0.43887822578225266,0.3177954094644375,7053.0,4809.0,2243.0,2.2468977809545745,120.22500000001021,17.29955902790129,-37.51268305898573,-21.6134023105084,-56.099999999997884,-16.212000689003617,-0.11000000000000007,1.0
random,Random,3,2.431342926080106,3.7301844449344297,2.2055067662286105,5.063986696887064,11031.056622893484,0.9886965736488873,0.01130342635111268,0.0024946543121881683,20480.0,436.0,0.0212890625,1683.6000480651855,2119.600046992302,2831.0,32.0,0.896503903955454,0.9787109375,0.673292630981116,0.6728149829738933,0.3264755959137344,0.9992905788876277,0.9992905788876277,0.0007094211123723042,0.136669921875,8.2001953125,0.11587674863367745,0.3665804177696168,512.0,0.3665804177696168,0.6684689128676264,0.3665804177696168,0.3665804177696168,0.3263337116912599,7043.0,4742.0,2300.0,2.3262455974047835,118.55000000000983,17.11280416941126,-37.978160233220784,-21.6712990626107,-57.5249999999978,-15.897000581491739,-0.16000000000000011,1.0
